BaeAcen,BaeBae,BaeHet,BaePla,BaetBaet,CaeCae,EphlSer,EphEphor,HepEpe,HepHep,HepLeu,HepMac,HepRhi,HepStena,HepSteno,IsoIso,LeptTri,CoeArg,GomAri,GomGom,PleTSTI,ChlSuw,CapLeuc,PerAcr,PerAgn,PerPar,PerPer,CoryCor,BraBra,GloPro,THydChe,THydHyd,THydMac,HydtAgr,HydtHyd,HydtLeu,LepidLep,LepCer,LepOec,PhiChi,PsyPsy,CraPet,ColeUnk,ElmMac,ElmOpt,ElmOul,ElmPro,ElmSte,PsePse,ChiChi,Chitend,ChiPara,ChiPoly,Chisect,ChiRheo,ChiDia,ChiPott,ChiCard,ChiChae,ChiCric,ChiNano,ChiOrtho,ChiThien,ChiTvet,ChiProd,TanThien,EmpHem,TanPro,TipAnt,GamGam,CamOrc,Hydrac,AncFer,PlePleur,PlaGyr,CorCor,Sphaer,UniLamp,Oligoc,Nemato,Nemert,Tricla
5,0,3,33,0,0,1,0,0,0,1,28,1,0,0,42,9,0,0,0,2,0,0,0,0,0,0,1,72,10,46,48,0,1,0,0,0,0,0,5,1,6,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,24,0,0,1,1,0,0,0,0,7,1,0,1,2,0,0,0,3,0
6,6,7,11,0,0,0,0,0,0,2,22,0,1,1,20,3,0,0,0,4,0,0,0,0,0,0,0,23,19,11,13,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,2,0,1,2,0,0
0,3,1,5,0,0,1,0,0,0,3,26,0,2,2,9,5,0,0,0,1,0,0,0,0,0,0,0,9,15,35,8,0,0,0,0,0,2,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,1,0,14,0,0,0,0,0,0
1,7,2,12,0,0,0,1,0,0,1,30,0,2,1,25,10,0,0,0,8,0,0,0,0,0,0,0,31,29,36,44,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,10,0,0,2,0,0,0,0,0,0
0,0,0,18,0,0,0,0,0,0,3,23,0,0,5,4,20,0,0,0,0,1,0,0,0,0,0,0,21,14,45,15,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0
2,4,0,10,0,0,1,0,0,0,2,18,0,3,1,24,11,0,0,0,1,0,0,0,0,0,0,0,16,20,23,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,14,1,0,0,0,0
0,3,1,42,0,0,0,0,0,0,9,48,2,2,3,8,40,0,0,0,2,0,0,0,0,0,0,0,22,63,57,30,0,1,0,1,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,7,0,34,0,0,7,0,0,0,0,0,20,0,0,0,0,2,2,0,1,27,0,2,4,0,0,0,0,0,2
0,4,0,3,0,0,1,0,0,1,2,23,0,2,1,15,9,0,0,0,3,0,0,0,0,0,0,0,21,28,37,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0
3,2,3,4,0,0,1,0,0,0,3,38,0,0,3,21,6,0,0,0,2,0,0,0,0,0,0,0,30,27,44,47,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1
10,10,34,6,0,0,1,0,0,0,2,22,5,0,0,24,1,0,0,0,6,0,0,3,0,0,0,1,183,5,16,71,7,0,0,0,0,1,0,28,0,0,0,0,4,0,0,12,1,0,0,0,0,0,3,0,0,3,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
