Serratella,Epeorus,Heptagenia,Leucrocuta,Maccaffertium,Rhithrogena,Stenacron,Stenonema,Suwallia,Acroneuria,Agnetina,Paragnetina,Perlesta,Corydalus,Brachycentrus,Protoptila,Cheumatopsyche,Hydropsyche,Macrostemum,Agraylea,Hydroptila,Leucotrichia,Ceraclea,Chimarra,Macronychus,Optioservus,Oulimnius,Promoresia,Stenelmis,Psephenus,Microtendipes,Rheotanytarsus,Cardiocladius,Cricotopus,Antocha,Ferrissia,Pleurocera,Gyraulus,Planariidae
1,0,0,1,28,1,0,0,0,0,0,0,0,1,72,10,46,48,0,1,0,0,0,5,0,1,0,0,0,0,0,14,0,0,0,7,1,0,0
0,0,0,2,22,0,1,1,0,0,0,0,0,0,23,19,11,13,0,0,0,0,1,5,0,1,0,0,1,0,0,5,0,0,0,3,0,0,0
1,0,0,3,26,0,2,2,0,0,0,0,0,0,9,15,35,8,0,0,0,0,2,7,0,1,0,0,0,0,0,1,0,0,0,8,1,0,0
0,0,0,1,30,0,2,1,0,0,0,0,0,0,31,29,36,44,0,0,0,0,0,3,0,1,0,0,3,0,0,4,0,0,0,10,0,0,0
0,0,0,3,23,0,0,5,1,0,0,0,0,0,21,14,45,15,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,14,0,0,0
1,0,0,2,18,0,3,1,0,0,0,0,0,0,16,20,23,9,0,0,0,0,3,0,0,0,0,0,2,0,0,15,0,0,0,13,0,0,0
0,0,0,9,48,2,2,3,0,0,0,0,0,0,22,63,57,30,0,1,0,1,0,0,0,2,0,0,3,0,0,34,7,0,2,27,0,2,2
1,0,1,2,23,0,2,1,0,0,0,0,0,0,21,28,37,18,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,6,0,0,0
1,0,0,3,38,0,0,3,0,0,0,0,0,0,30,27,44,47,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,4,0,0,1
1,0,0,2,22,5,0,0,0,3,0,0,0,1,183,5,16,71,7,0,0,0,1,28,0,4,0,0,12,1,0,3,3,1,0,0,0,0,0
0,1,0,4,31,4,0,0,1,2,1,0,0,0,116,8,42,68,6,0,0,0,0,28,0,10,0,0,7,1,0,20,0,0,0,2,0,0,4
0,0,0,2,24,0,0,0,0,0,0,0,0,0,487,35,23,38,1,0,0,0,0,8,0,4,0,0,2,0,0,52,9,0,2,2,0,0,0
1,0,0,0,15,1,0,0,0,0,0,0,0,0,132,1,9,75,1,0,0,0,0,12,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,0,14,97,8,0,0,1,1,0,0,0,0,282,27,76,77,6,0,0,0,0,47,0,11,0,0,18,0,0,98,0,0,1,7,0,0,10
0,0,0,1,10,1,0,0,0,0,0,0,0,0,238,1,4,22,2,0,0,0,0,2,0,2,0,1,2,0,0,1,4,0,0,0,0,0,0
0,0,1,1,5,1,0,0,0,0,0,0,0,0,167,0,5,29,0,0,0,0,0,4,0,1,0,0,7,0,0,5,0,0,0,0,0,0,0
2,0,0,0,25,6,0,0,0,0,0,0,0,0,65,2,9,27,0,0,1,0,0,11,0,1,0,1,5,0,0,4,7,0,0,0,0,0,0
0,0,0,2,12,5,0,0,0,1,0,0,0,0,402,6,12,34,0,0,0,0,1,0,0,3,0,0,1,0,0,1,11,0,0,0,0,0,0
0,0,0,1,13,0,0,1,0,0,0,0,0,0,107,6,32,11,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,2,22,0,0,0,0,1,0,0,0,1,1064,7,21,61,1,0,0,0,3,5,0,3,0,0,6,2,0,26,0,0,1,1,0,0,0
0,0,0,0,21,0,0,1,0,0,0,0,0,0,553,3,20,29,0,0,0,0,3,10,0,2,0,1,3,0,0,48,32,0,6,3,0,0,0
1,0,0,3,19,2,0,0,0,0,0,0,0,0,133,2,8,18,0,0,0,0,0,4,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0
0,0,0,2,17,0,0,0,0,0,0,0,0,0,212,4,10,15,0,1,0,0,0,7,0,1,0,0,2,0,0,200,0,0,0,27,0,0,0
0,0,0,0,23,0,0,1,0,0,0,0,0,0,399,1,30,24,1,0,1,0,2,3,0,5,0,1,1,0,0,253,0,0,3,20,0,0,1
0,0,0,4,24,0,0,1,0,0,0,0,0,0,41,8,34,25,0,0,0,0,0,2,0,1,0,0,2,1,0,10,0,0,0,1,0,0,0
0,0,1,0,29,0,0,0,0,0,0,0,0,1,468,2,28,54,2,0,0,0,1,7,0,2,0,0,9,1,0,70,0,0,0,12,0,0,1
1,0,1,0,32,0,4,1,0,0,0,0,0,0,446,1,31,36,0,0,0,0,0,0,0,2,0,0,1,5,0,105,0,0,3,14,0,0,0
0,0,6,10,133,1,1,2,0,0,0,0,0,0,581,14,72,95,4,0,0,0,2,57,0,2,0,0,1,0,0,85,0,0,3,42,0,0,4
0,0,0,12,45,0,0,3,0,0,0,0,0,0,22,6,28,2,0,0,0,0,4,8,0,2,0,0,1,1,0,17,0,0,0,3,1,0,1
0,0,0,4,49,0,0,0,0,1,0,0,0,0,362,9,46,30,1,0,0,0,8,27,0,0,0,0,4,0,0,61,0,0,0,37,0,0,5
0,0,0,4,46,1,0,2,0,0,0,0,0,0,515,6,9,50,0,0,0,0,1,14,0,2,0,0,3,0,0,31,6,0,2,0,0,0,0
3,0,0,20,92,16,0,0,0,1,0,0,0,0,398,5,103,64,4,0,0,0,0,50,0,1,0,0,0,0,0,56,0,0,0,1,1,0,1
0,0,0,2,59,8,0,3,0,1,0,0,0,0,56,8,21,7,0,0,0,0,0,11,0,14,0,0,4,0,0,4,2,0,0,0,0,0,0
4,0,0,0,38,1,0,1,0,1,0,1,0,0,507,0,23,36,0,0,3,0,3,25,1,3,0,0,5,2,0,277,16,2,2,4,0,0,3
3,0,0,16,50,3,4,4,0,2,0,0,1,6,608,0,27,113,0,0,0,0,9,29,0,0,0,0,23,0,0,60,40,0,0,1,0,0,0
2,0,0,2,31,4,1,0,0,1,0,0,0,2,588,0,19,65,0,0,2,0,3,37,0,2,1,0,22,0,0,107,59,9,4,3,0,0,4
2,0,0,20,52,10,1,1,0,6,0,1,0,2,282,0,28,47,0,0,0,0,8,23,0,4,0,0,70,0,0,220,42,0,0,1,1,0,2
0,0,0,2,56,4,3,4,0,0,0,0,0,0,132,1,7,10,0,0,0,0,1,4,0,2,0,0,1,0,0,32,0,0,0,4,5,0,0
1,0,0,2,43,0,3,3,0,0,0,0,0,0,331,2,28,21,0,0,7,1,2,1,0,8,0,0,13,2,24,314,27,0,16,2,1,0,3
3,0,1,7,30,0,1,2,0,1,0,0,0,0,177,2,12,19,1,4,11,0,1,5,0,0,0,0,3,0,0,475,52,0,5,5,1,0,4
0,0,0,1,15,4,0,0,0,0,0,0,0,0,45,0,4,15,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,36,5,0,2,0,0,0,0,0,0,57,36,48,33,0,0,0,0,4,6,0,0,0,0,2,0,0,25,0,0,0,7,0,0,0
0,0,0,2,41,2,0,0,0,4,0,0,0,0,23,19,60,39,0,0,0,0,1,15,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0
0,0,0,2,39,5,0,0,0,0,0,0,0,0,39,10,45,13,0,0,0,0,0,7,0,1,0,0,2,0,0,25,2,0,0,3,0,0,3
0,0,0,1,18,0,2,0,0,0,0,2,0,2,84,12,25,44,0,0,0,0,1,1,0,0,0,0,4,0,0,15,0,0,0,3,0,0,1
0,0,0,3,25,5,1,0,0,1,0,0,0,0,19,13,21,23,0,0,0,0,0,6,0,1,0,0,2,0,0,3,1,0,0,2,0,0,0
3,0,0,5,20,0,1,1,0,0,0,0,0,1,37,16,27,31,0,0,0,0,1,0,0,1,0,0,2,1,0,13,0,0,0,2,1,0,1
0,0,0,4,24,0,3,1,0,0,0,0,0,0,102,12,28,44,0,0,0,0,7,3,0,1,0,0,2,0,0,22,0,0,0,8,0,0,1
0,0,0,1,30,2,0,0,0,0,0,1,0,0,41,7,29,22,0,0,0,0,0,6,0,0,0,0,1,2,0,8,0,0,0,2,1,0,0
0,0,0,3,49,2,5,0,0,0,0,0,0,0,40,15,32,29,0,0,0,0,3,1,0,2,0,0,3,0,0,19,0,0,1,15,0,0,0
0,0,0,1,40,0,0,1,0,0,0,0,0,0,51,6,37,22,1,0,0,0,0,4,0,0,0,0,1,0,0,28,0,1,0,25,1,0,1
0,0,0,0,15,0,0,0,0,0,0,0,0,0,21,4,34,44,0,0,0,0,0,2,0,2,0,0,1,0,0,10,0,0,0,7,0,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,0,28,9,20,27,0,0,0,0,0,2,0,1,0,0,0,0,0,11,0,0,0,10,0,0,0
0,0,0,1,11,2,0,0,0,0,0,0,0,0,30,2,12,26,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,5,0,0,0
0,0,0,1,6,1,0,0,0,2,0,0,0,1,7,10,9,20,0,0,0,0,0,0,0,3,0,0,0,0,0,12,3,0,0,3,0,0,0
0,0,0,0,9,3,0,0,0,1,0,0,0,0,19,9,16,9,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,1,5,1,0,0
1,0,0,4,19,1,0,0,0,0,0,0,0,0,15,8,28,22,0,0,0,0,1,1,0,6,0,0,1,0,0,21,0,0,0,6,1,0,3
0,0,0,0,9,1,0,0,0,0,0,0,0,0,19,21,10,41,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,2,1,0,0
0,0,0,0,27,0,0,0,0,0,0,0,0,0,13,14,35,33,0,0,0,0,0,6,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0
0,1,0,1,11,0,0,1,0,1,0,0,0,0,19,7,27,12,0,0,0,0,0,0,0,2,0,0,3,0,0,5,1,0,0,5,0,0,0
0,0,0,0,5,2,0,0,0,0,0,0,0,0,17,11,16,24,0,0,0,0,0,1,0,1,0,0,2,0,0,14,0,0,0,6,0,0,1
0,0,0,1,41,0,0,3,0,0,0,0,0,0,2,10,17,16,0,0,0,0,0,2,0,2,0,0,0,0,0,8,0,0,1,18,1,0,0
1,0,0,1,27,0,2,0,0,0,0,0,0,0,2,3,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,1
1,0,0,0,12,1,0,2,0,0,0,0,0,0,57,12,25,75,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,10,0,0,0
0,0,0,0,13,1,2,0,0,0,0,0,0,0,4,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,11,0,0,0
0,0,1,1,28,1,3,5,0,0,0,0,0,0,16,15,18,35,1,0,0,0,1,1,0,0,0,0,2,0,0,24,0,0,1,16,0,0,1
0,0,0,4,32,0,0,0,0,1,0,0,0,0,4,15,25,12,0,0,0,0,7,0,0,3,0,0,3,2,0,155,0,0,1,24,1,0,3
0,0,0,0,20,0,0,3,0,0,0,0,0,0,45,9,35,59,0,0,0,0,1,4,0,2,0,0,3,1,0,14,0,0,0,24,0,0,0
1,0,0,2,25,0,0,2,0,0,0,0,0,0,16,7,51,36,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,33,0,1,0
0,0,0,4,21,2,0,1,0,0,0,0,0,0,2,7,34,16,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,21,0,0,4
0,0,0,0,12,1,0,0,0,0,0,0,0,0,3,4,28,19,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,43,0,0,0
0,0,0,4,30,0,0,1,0,0,0,0,0,0,10,15,55,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,2
0,0,0,1,14,0,0,1,0,0,0,0,0,0,13,1,22,28,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,24,0,0,0
0,0,0,1,18,0,0,0,0,0,0,0,0,0,21,13,43,55,0,0,0,0,0,0,0,2,0,0,0,0,0,7,3,0,3,14,0,0,0
0,0,0,5,23,0,0,3,0,0,0,0,0,0,3,7,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,2
1,0,0,2,20,0,0,2,0,0,0,0,0,0,1,6,33,23,0,0,0,0,1,0,0,1,0,0,1,0,0,11,0,0,0,25,0,0,0
0,0,0,1,5,0,0,1,0,0,0,0,0,0,14,16,45,62,0,0,0,0,0,0,0,4,0,0,0,0,0,10,2,0,0,46,0,0,0
0,0,2,0,11,0,0,2,2,0,0,0,0,0,40,8,77,60,0,0,0,0,0,8,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0
0,0,0,1,19,0,0,2,0,0,0,0,0,0,33,10,53,54,0,0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,2,0,0,0
0,0,0,1,12,0,0,1,0,1,0,0,0,0,37,10,24,53,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,10,0,0,0
0,0,0,3,24,0,0,7,0,0,0,0,0,0,2,22,43,35,0,0,0,0,0,1,0,0,0,0,1,1,0,25,0,0,2,6,4,0,1
0,0,0,7,14,0,2,2,0,0,0,0,0,0,5,23,40,18,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,16,2,0,1
0,0,0,2,12,0,3,0,0,0,0,0,0,0,23,15,25,33,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,21,0,0,0
0,0,0,3,11,0,1,1,0,0,0,0,0,0,21,27,23,43,0,0,0,0,0,3,0,0,0,0,0,0,0,27,0,0,0,11,3,0,0
0,0,0,2,9,0,1,1,0,0,0,0,0,1,6,5,12,11,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,2,1,0,1
0,0,0,3,28,0,1,1,0,0,0,0,0,0,26,5,26,50,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,58,0,0,0
