Inorg,Organ,Chla ,BOM,Depth,Flow,Fines,AveAr
0.25915721,0.116293037,0.341352112,0.328344874,0.337883959,0.460410558,0.057693639,0.082748556
0.223629688,0.095178105,0.02911445,0.165735984,0.324232081,0.366568915,0.020307157,0.048346844
0.315383868,0.074726235,0.023160173,0.242126424,0.433447099,0.451612904,0.19048285,0.107277301
0.197454196,0.079234885,0.096160221,0.096493187,0.324232081,0.187683285,0.040453279,0.042567184
0.393877733,0.108399496,0.013933009,0.081974537,0.317406144,0.211143695,0.019777667,0.04784499
0.225199117,0.086428996,0,0.154344427,0.501706485,0.501466276,0.044894563,0.074076377
0.259890629,0.048699656,0.159984532,0.149653786,0.378839591,0.202346041,0.056069812,0.033794718
0.232024094,0.070103198,0.033255933,0.353361626,0.303754266,0.187683285,0.052212627,0.006109194
0.133057675,0.080404155,0.013536559,0.383739111,0.57337884,0.419354839,0.013763911,0.021285652
0.164069862,0.0789223,0.049810997,0.194773286,0.385665529,0.75659824,0,0.207549012
0.229675386,0.078911837,0.064182724,1,0.119453924,0.445747801,0.031847718,0.331707674
0.200336238,0.100785016,0.073522054,0.834040652,0.18771331,0.173020528,0.061926923,0.051115943
0.402802076,0.061322698,0.063554275,0.049363413,0.392491468,0.88856305,0.012673887,1
0.299090003,0.090236186,0.219455054,0.669421488,0.126279863,0.275659825,0.025693872,0.163270832
0.230100015,0.039790852,0.076313119,0.050480232,0.372013652,0.686217009,0.00074846,0.056575692
0.398728355,0.090218712,0.007558203,0.059191423,0.42662116,0.838709678,0.042351732,0.068635244
0.20513081,0.083443649,0.15609199,0.189412553,0.215017065,0.659824047,0.007409329,0.033216068
0.167222987,0.090998192,0.038401214,0.064552155,0.467576791,0.519061583,0.004181194,0.265089799
0.189773167,0.11285786,0.090007292,0.065668975,0.774744027,0.416422288,0.001249126,0.272387144
0.285515462,0.065849633,0.113397713,0.179584543,0.249146758,0.266862171,0.00500064,0.245596704
0.254781493,0.104315583,0.085605735,0.227607773,0.255972696,0.44281525,0.01712155,0.537874159
0.189981744,0.084607129,0.110972034,0,0.389078499,0.524926686,0.003880335,0.263015596
0.189462678,0.084296576,0.133537738,0.208845209,0.542662116,0.187683285,0.16980958,0.30230549
0.221676395,0.065682522,0.182520549,0.182488273,0.38225256,0.272727273,0.232930116,0.171113701
0.349704764,0.075558337,0.098203558,0.577842305,0.556313993,0.395894428,0.009510629,0.367562267
0.255037289,0.06631531,0.083242954,0.125530489,0.28327645,0.222873901,0.041602795,0.191047232
0.253689687,0.06581164,0.158227011,0.133794952,0.662116041,0.140762463,0.216858975,0.132807135
0.228002008,0.058644347,0.155103832,0.433549252,0.122866894,0.331378299,0.005043025,0.047815337
0.098624678,0.079122834,0.042302284,0.080187626,0.28327645,0.357771261,0.003344528,0.176874084
0.066316523,0.099886679,0.061462327,0.515300424,0.160409556,0.410557185,0.007204314,0.1097398
0.304384617,0.092347171,0.132478262,0.15680143,0.416382252,0.838709678,0.015708286,0.093977963
0.133560097,0.060846761,0.116821212,0.165289256,0,0.11143695,0.04686657,0
0.293091863,0.097583186,0.089368271,0.494080858,0.546075085,1,0.001728225,0.088140881
0.220420852,0.027479684,0.33727003,0.273285682,0.228668942,0.217008798,0.011040777,0.054519732
0.063564248,0.094536683,0.095213922,0.235872236,0.372013652,0.539589443,0.002130033,0.038980034
0.223528796,0.047375161,0.269378699,0.342267888,0.201365187,0.375366569,0.03297405,0.082441387
0.1915206,0.037799435,0.050819706,0.600848783,0.146757679,0.346041056,0.005828147,0.140856454
0.189949812,0.056186035,0.440314348,0.735164917,0.167235495,0.28739003,0.250903614,0.006091901
0.16097075,0.086511079,0.440860376,0.824584916,0.153583618,0.126099707,0.052142133,0.293234919
0.159156395,0.066170548,0.482345317,0.196671878,0.276450512,0.146627566,0.10931718,0.436366871
0.031796222,0.085128475,0.017714995,0.19484774,0.453924915,0.580645161,0.001295616,0.188693079
0.100753258,0.071413471,0.080002008,0.378974015,0.372013652,0.395894428,0.012357936,0.249913815
0,0.111182076,0.036750034,0.174000447,0.556313993,0.469208212,0.005473732,0.149653133
0.136746852,0.103884853,0.104364584,0.243764426,0.273037542,0.263929619,0.001500074,0.205934368
0.133663706,0.050923708,0.078730006,0.088005361,0.406143344,0.44281525,0.016934776,0.118638045
0.033222975,0.120007985,0.041058637,0.078698533,0.262798634,0.469208212,0.008911406,0.080821716
0.205420237,0.073363948,0.034788028,0.097535552,0.303754266,0.37829912,0.0110279,0.103296903
0.168793435,0.031552626,0.086079359,0.078549624,0.33105802,0.392961877,0.036163828,0.029613803
0.27620114,0.043252644,0.078672614,0.131040131,0.310580205,0.451612904,0.02129207,0.151146615
0.13641734,0.134161135,0.117737153,0.109224927,0.378839591,0.524926686,0.022273708,0.254182063
0.222167266,0.056400994,0.112852149,0.168639714,0.324232081,0.231671555,0.009732042,0.131502108
0.223088541,0.094877509,0.091538588,0.119127392,0.610921501,0.425219942,0.004069338,0.152857579
0.28847088,0.076416852,0.159704514,0.071029707,0.481228669,0.565982405,0.007833523,0.385610971
0.384831096,0.076472521,0.13556925,0.055170873,0.290102389,0.319648094,0.006311526,0.124197853
0.228857721,0.098081574,0.071842562,0.06946616,0.419795222,0.771260997,0.008001848,0.096263607
0.25754362,0.12501553,0.085427719,0.13069764,0.440273038,0.592375367,0.015053483,0.06255491
1,0.144620467,0.136900908,0.126647308,0.249146758,0.137829912,0.062447968,0.053420504
0.321661244,0.076791201,0.049229482,0.085399449,0.61774744,0.513196481,0.046066031,0.15257176
0.361389875,0.088877556,0.108185892,0.305487306,0.604095564,0.689149561,0.03391979,0.077378346
0.307114812,0.08323123,0.156630988,0.155088973,0.290102389,0.307917888,0.05570146,0.004963095
0.237647202,0.102963049,0.118188144,0.10669347,0.505119454,0.527859237,0.024552611,0.070102632
0.385905917,1,0.17623452,0.165810438,0.392491468,0.574780059,0.010004448,0.176801504
0.274546445,0.104396447,0.168991991,0.315910952,0.703071672,0.11143695,0.598202802,0.12019263
0.296305456,0.137122711,0.120229165,0.129923312,0.232081911,0.524926686,0.019081366,0.107149229
0.401853285,0.071124354,0.048981045,0.033802397,0.457337884,0.363636364,0.0096093,0.166068591
0.442570113,0.011702965,1,0.343980344,0.808873721,0.322580645,0.072092471,0.020170995
0.335098884,0.061169504,0.1602824,0.885935522,0.563139932,0,1,0.072419521
0.316082298,0.103313119,0.08381106,0.248008339,0.747440274,0.240469209,0.013092952,0.136389673
0.426392087,0.147534297,0.107357319,0.249720795,0.522184301,0.48680352,0.104697641,0.078108797
0.516624396,0.106163356,0.050620984,0.353138262,0.392491468,0.425219942,0.055649334,0.104559802
0.225493979,0.14438001,0.139027316,0.171990172,0.610921501,0.469208212,0.056090364,0.132816176
0.328975394,0.108710963,0.11040893,0.386196113,0.535836177,0.439882698,0.038473089,0.037579509
0.291340693,0.154909844,0.148858322,0.605762788,0.460750854,0.434017596,0.029838215,0.239642366
