Sample ID,Point,Latitude,Longitude 
R1P1MM,1,41.22859,76.8269
R1P2MM,2,41.2289,76.82709
R1P3MM,3,41.22923,76.82725
R1P4MM,4,41.22863,76.82646
R1P5MM,5,41.22896,76.82655
R1P6MM,6,41.22932,76.82678
R1P7MM,7,41.22872,76.82598
R1P8MM,8,41.22902,76.82615
R1P9MM,9,41.22935,76.82638
R2P1MM,10,41.1949,76.80413
R2P2MM,11,41.19479,76.80374
R2P3MM,12,41.19467,76.80328
R2P4MM,13,41.19447,76.80433
R2P5MM,14,41.19442,76.80386
R2P6MM,15,41.19436,76.80341
R2P7MM,16,41.19415,76.80454
R2P8MM,17,41.19401,76.80414
R2P9MM,18,41.19388,76.80376
BLANK,19,41.17215,76.85416
R3P2MM,20,41.17215,76.85416
R3P3MM,21,41.1718,76.85405
BLANK,22,41.17206,76.85465
R3P5MM,23,41.17206,76.85465
R3P6MM,24,41.1717,76.85452
BLANK,25,41.17199,76.85518
R3P8MM,26,41.17199,76.85518
R3P9MM,27,41.17162,76.85501
R4P1MM,28,41.13947,76.89533
R4P2MM,29,41.13933,76.89495
BLANK,30,41.13933,76.89495
R4P4MM,31,41.13912,76.89549
R4P5MM,32,41.13895,76.89494
R4P6MM,33,41.13894,76.89452
R4P7MM,34,41.13882,76.89565
R4P8MM,35,41.13863,76.89522
R4P9MM,36,41.13846,76.89484
R5P1MM,37,41.10446,76.89011
R5P2MM,38,41.10454,76.88965
R5P3MM,39,41.10458,76.88923
R5P4MM,40,41.104,76.88997
R5P5MM,41,41.1041,76.88951
R5P6MM,42,41.10424,76.88912
R5P7MM,43,41.10367,76.88981
R5P8MM,44,41.10377,76.88934
R5P9MM,45,41.10384,76.88886
R6P1MM,46,41.10056,76.88794
R6P2MM,47,41.10073,76.88749
R6P3MM,48,41.10086,76.88704
R6P4MM,49,41.1002,76.88766
R6P5MM,50,41.10037,76.88723
R6P6MM,51,41.10057,76.88685
R6P7MM,52,41.09998,76.88738
R6P8MM,53,41.1,76.88695
R6P9MM,54,41.10015,76.88651
R7P1MM,55,41.09376,76.88346
R7P2MM,56,41.09391,76.88305
R7P3MM,57,41.09406,76.88267
R7P4MM,58,41.09327,76.88302
R7P5MM,59,41.09358,76.88272
R7P6MM,60,41.09377,76.88235
R7P7MM,61,41.09305,76.88277
R7P8MM,62,41.09322,76.88233
R7P9MM,63,41.09341,76.88192
R8P1MM,64,41.05826,76.85663
R8P2MM,65,41.05831,76.8562
R8P3MM,66,41.05831,76.85571
R8P4MM,67,41.05789,76.85659
R8P5MM,68,41.05789,76.85606
R8P6MM,69,41.05791,76.8556
R8P7MM,70,41.0575,76.8566
R8P8MM,71,41.05753,76.85608
R8P9MM,72,41.05753,76.85561
R9P1MM,73,41.0225,76.86345
R9P2MM,74,41.02234,76.86307
R9P3MM,75,41.02214,76.8626
R9P4MM,76,41.02195,76.86368
R9P5MM,77,41.02189,76.86327
R9P6MM,78,41.02183,76.86282
R9P7MM,79,41.02158,76.8638
R9P8MM,80,41.02151,76.86338
R9P9MM,81,41.02138,76.86293
R10P1MM,82,40.97137,76.87976
R10P2MM,83,40.97135,76.87927
R10P3MM,84,40.97133,76.87881
R10P4MM,85,40.97103,76.87973
R10P5MM,86,40.97098,76.87924
R10P6ML,87,40.97095,76.87875
R10P7MM,88,40.97066,76.87972
R10P8MM,89,40.97069,76.87922
R10P9MM,90,40.97064,76.8788
