Acentrella,Baetis,Heterocloeon,Plauditus,Isonychia
5,0,3,33,42
6,6,7,11,20
0,3,1,5,9
1,7,2,12,25
0,0,0,18,4
2,4,0,10,24
0,3,1,42,8
0,4,0,3,15
3,2,3,4,21
10,10,34,6,24
6,15,8,23,43
8,23,15,12,10
19,1,23,3,16
12,65,13,74,106
6,11,22,6,3
18,2,30,12,5
19,16,22,10,18
3,19,4,15,5
0,2,2,0,12
14,5,34,12,17
4,9,34,10,18
8,4,19,5,20
0,4,8,37,18
3,9,7,66,16
4,1,11,11,45
13,3,18,30,62
2,7,10,30,18
25,5,29,21,172
4,0,0,7,8
1,12,6,5,78
15,5,18,8,24
9,8,6,15,97
5,2,4,3,45
0,7,2,9,21
12,23,19,15,85
12,20,4,18,12
10,19,6,23,42
1,7,0,10,30
0,9,0,15,6
1,15,0,22,6
5,7,5,7,18
7,4,10,38,21
5,12,10,18,84
3,7,5,40,15
3,5,21,33,29
14,20,0,21,25
11,0,9,20,12
20,2,15,42,21
6,13,6,22,14
3,2,0,35,21
4,3,0,82,19
10,5,5,28,20
2,0,0,28,1
7,1,0,32,4
8,4,4,16,5
5,2,0,37,2
0,2,0,58,3
6,0,8,12,5
4,0,1,49,1
1,0,0,29,5
4,0,2,10,6
0,0,0,34,15
0,0,0,41,2
11,0,4,46,10
0,0,0,35,0
0,1,0,59,4
0,0,0,48,5
2,0,2,107,9
7,0,4,37,16
12,0,2,47,19
3,0,1,39,10
2,0,0,32,9
7,0,1,50,6
8,0,1,23,7
3,0,0,50,17
9,0,1,36,22
4,0,0,10,3
16,7,6,29,7
12,3,2,18,14
30,0,1,16,6
1,4,0,32,7
6,0,0,22,10
14,0,0,23,15
3,3,0,50,6
4,1,2,25,10
14,0,0,43,11
