BraBra,GloPro,THydChe,THydHyd,THydMac,HydtAgr,HydtHyd,HydtLeu,LepidLep,LepCer,LepOec,PhiChi,PsyPsy
72,10,46,48,0,1,0,0,0,0,0,5,1
23,19,11,13,0,0,0,0,0,1,0,5,0
9,15,35,8,0,0,0,0,0,2,0,7,0
31,29,36,44,0,0,0,0,0,0,0,3,0
21,14,45,15,0,0,0,0,0,0,0,0,0
16,20,23,9,0,0,0,0,0,3,0,0,0
22,63,57,30,0,1,0,1,0,0,0,0,0
21,28,37,18,0,0,0,0,0,0,0,0,0
30,27,44,47,0,0,0,0,0,0,0,4,0
183,5,16,71,7,0,0,0,0,1,0,28,0
116,8,42,68,6,0,0,0,0,0,0,28,0
487,35,23,38,1,0,0,0,0,0,0,8,0
132,1,9,75,1,0,0,0,0,0,0,12,0
282,27,76,77,6,0,0,0,1,0,0,47,5
238,1,4,22,2,0,0,0,0,0,0,2,0
167,0,5,29,0,0,0,0,0,0,0,4,0
65,2,9,27,0,0,1,0,0,0,0,11,0
402,6,12,34,0,0,0,0,0,1,0,0,1
107,6,32,11,0,0,0,0,0,0,0,2,0
1064,7,21,61,1,0,0,0,0,3,0,5,0
553,3,20,29,0,0,0,0,0,3,0,10,0
133,2,8,18,0,0,0,0,0,0,0,4,1
212,4,10,15,0,1,0,0,0,0,0,7,0
399,1,30,24,1,0,1,0,0,2,0,3,3
41,8,34,25,0,0,0,0,0,0,0,2,0
468,2,28,54,2,0,0,0,0,1,0,7,0
446,1,31,36,0,0,0,0,0,0,0,0,0
581,14,72,95,4,0,0,0,0,2,0,57,1
22,6,28,2,0,0,0,0,1,4,0,8,1
362,9,46,30,1,0,0,0,0,8,0,27,0
515,6,9,50,0,0,0,0,0,1,0,14,0
398,5,103,64,4,0,0,0,0,0,0,50,0
56,8,21,7,0,0,0,0,0,0,0,11,0
507,0,23,36,0,0,3,0,0,3,1,25,0
608,0,27,113,0,0,0,0,0,9,0,29,0
588,0,19,65,0,0,2,0,0,3,0,37,0
282,0,28,47,0,0,0,0,0,8,0,23,0
132,1,7,10,0,0,0,0,0,1,0,4,2
331,2,28,21,0,0,7,1,0,2,0,1,7
177,2,12,19,1,4,11,0,0,1,1,5,1
45,0,4,15,0,0,0,0,0,0,0,7,0
57,36,48,33,0,0,0,0,0,4,0,6,1
23,19,60,39,0,0,0,0,0,1,0,15,0
39,10,45,13,0,0,0,0,1,0,0,7,0
84,12,25,44,0,0,0,0,0,1,0,1,0
19,13,21,23,0,0,0,0,0,0,0,6,0
37,16,27,31,0,0,0,0,0,1,0,0,1
102,12,28,44,0,0,0,0,0,7,0,3,0
41,7,29,22,0,0,0,0,0,0,0,6,0
40,15,32,29,0,0,0,0,0,3,0,1,0
51,6,37,22,1,0,0,0,0,0,0,4,0
21,4,34,44,0,0,0,0,0,0,0,2,0
28,9,20,27,0,0,0,0,0,0,0,2,0
30,2,12,26,0,0,0,0,0,0,0,0,0
7,10,9,20,0,0,0,0,0,0,0,0,0
19,9,16,9,0,0,0,0,1,0,0,0,0
15,8,28,22,0,0,0,0,0,1,0,1,0
19,21,10,41,0,0,0,0,0,0,0,1,0
13,14,35,33,0,0,0,0,0,0,0,6,1
19,7,27,12,0,0,0,0,0,0,0,0,0
17,11,16,24,0,0,0,0,0,0,0,1,0
2,10,17,16,0,0,0,0,0,0,0,2,0
2,3,13,12,0,0,0,0,0,0,0,0,1
57,12,25,75,0,0,0,0,0,0,0,0,0
4,17,17,17,0,0,0,0,0,0,0,0,0
16,15,18,35,1,0,0,0,0,1,0,1,0
4,15,25,12,0,0,0,0,0,7,0,0,0
45,9,35,59,0,0,0,0,0,1,0,4,0
16,7,51,36,0,0,0,0,0,0,0,0,0
2,7,34,16,0,0,0,0,0,0,0,0,0
3,4,28,19,0,0,0,0,0,0,0,0,1
10,15,55,31,0,0,0,0,0,0,0,0,0
13,1,22,28,0,0,0,0,0,0,0,1,1
21,13,43,55,0,0,0,0,0,0,0,0,0
3,7,30,15,0,0,0,0,0,0,0,0,0
1,6,33,23,0,0,0,0,0,1,0,0,0
14,16,45,62,0,0,0,0,0,0,0,0,0
40,8,77,60,0,0,0,0,0,0,0,8,0
33,10,53,54,0,0,0,0,0,0,0,4,0
37,10,24,53,0,0,0,0,0,0,0,2,0
2,22,43,35,0,0,0,0,0,0,0,1,0
5,23,40,18,0,0,0,0,0,0,0,1,0
23,15,25,33,0,0,0,0,0,0,0,2,0
21,27,23,43,0,0,0,0,0,0,0,3,0
6,5,12,11,0,0,0,0,0,0,0,4,0
26,5,26,50,0,0,0,0,0,1,0,0,0
